Date,Open,High,Low,Close,Adj Close,Volume
2017-12-19,769.869995,771.010010,754.270020,766.179993,766.179993,1692200
2017-12-21,754.539978,759.130005,740.309998,740.320007,740.320007,1208900
2017-12-22,742.150024,761.200012,740.049988,761.200012,761.200012,1083300
2017-12-26,763.960022,775.539978,762.210022,762.210022,762.210022,808300
2017-12-27,771.330017,791.950012,770.950012,791.950012,791.950012,829600
2017-12-28,791.760010,798.679993,790.340027,798.419983,798.419983,1066200
2018-01-02,803.630005,813.400024,800.539978,812.450012,812.450012,989200
2018-01-03,816.299988,824.179993,812.219971,822.309998,822.309998,1203100
2018-01-04,825.109985,825.570007,802.830017,808.010010,808.010010,1346500
2018-01-05,812.049988,828.039978,812.049988,828.030029,828.030029,1229200
2018-01-08,836.070007,840.059998,829.280029,839.510010,839.510010,1229000
2018-01-09,841.390015,843.559998,827.289978,829.989990,829.989990,1196000
2018-01-10,837.630005,841.250000,820.890015,834.909973,834.909973,1104100
2018-01-11,835.229980,852.510010,830.369995,852.510010,852.510010,1288800
2018-01-12,863.070007,886.650024,857.330017,873.049988,873.049988,1180700
2018-01-15,879.559998,892.289978,865.679993,891.609985,891.609985,1025700
2018-01-16,889.229980,901.229980,884.760010,901.229980,901.229980,1009400
2018-01-17,902.369995,905.950012,884.909973,886.580017,886.580017,1212000
2018-01-18,892.500000,899.849976,887.669983,898.190002,898.190002,1260200
2018-01-19,902.849976,902.969971,875.429993,879.989990,879.989990,1164700
2018-01-22,875.950012,880.849976,864.380005,873.090027,873.090027,1126600
2018-01-23,881.679993,894.429993,877.679993,894.429993,894.429993,1047300
2018-01-24,901.619995,903.169983,891.030029,894.770020,894.770020,1011700
2018-01-25,894.210022,898.599976,887.969971,898.599976,898.599976,1025000
2018-01-26,898.530029,913.119995,895.320007,913.119995,913.119995,1080200
2018-01-29,914.260010,929.349976,914.219971,927.049988,927.049988,1279600
2018-01-30,928.719971,932.010010,918.789978,920.960022,920.960022,1243800
2018-01-31,910.890015,917.780029,903.520020,913.570007,913.570007,1195300
2018-02-01,916.780029,919.900024,901.349976,908.200012,908.200012,1407700
2018-02-02,911.460022,911.770020,887.969971,899.469971,899.469971,1373000
2018-02-05,876.630005,883.299988,858.219971,858.219971,858.219971,1043100
2018-02-06,821.239990,858.739990,814.460022,858.169983,858.169983,1062700
2018-02-07,874.750000,875.030029,829.960022,829.960022,829.960022,1033300
2018-02-08,834.890015,867.039978,824.640015,861.940002,861.940002,796300
2018-02-09,832.130005,850.700012,832.130005,842.599976,842.599976,764400
2018-02-12,854.090027,854.940002,843.239990,843.239990,843.239990,692300
2018-02-13,852.940002,854.080017,829.390015,829.390015,829.390015,832900
2018-02-14,835.599976,848.030029,830.780029,848.030029,848.030029,722700
2018-02-19,855.780029,875.809998,855.580017,875.809998,875.809998,684400
2018-02-20,873.989990,877.900024,861.500000,864.409973,864.409973,797200
2018-02-21,867.919983,877.690002,864.210022,875.580017,875.580017,814600
2018-02-22,871.719971,873.479980,863.890015,870.219971,870.219971,857900
2018-02-23,873.520020,875.729980,871.409973,874.780029,874.780029,770200
2018-02-26,881.359985,884.260010,869.659973,874.429993,874.429993,802100
2018-02-27,880.880005,882.039978,874.000000,874.010010,874.010010,794500
2018-02-28,866.500000,868.530029,853.900024,857.059998,857.059998,820900
2018-03-02,846.400024,861.080017,845.719971,860.229980,860.229980,768900
2018-03-05,862.409973,863.010010,845.000000,845.000000,845.000000,747500
2018-03-06,854.909973,859.210022,850.419983,859.210022,859.210022,828900
2018-03-07,856.429993,861.409973,841.030029,841.030029,841.030029,947300
2018-03-08,847.309998,855.799988,846.340027,853.940002,853.940002,891000
2018-03-09,857.799988,868.510010,857.469971,865.799988,865.799988,884800
2018-03-12,874.150024,884.270020,873.260010,884.270020,884.270020,802300
2018-03-13,884.539978,886.250000,879.849976,886.250000,886.250000,1086500
2018-03-14,882.390015,887.039978,880.919983,886.919983,886.919983,954400
2018-03-15,886.979980,893.559998,883.700012,890.429993,890.429993,951000
2018-03-16,893.239990,894.450012,889.400024,894.429993,894.429993,808500
2018-03-19,894.400024,894.400024,880.969971,880.969971,880.969971,759600
2018-03-20,876.609985,890.400024,875.390015,890.400024,890.400024,752100
2018-03-21,892.020020,895.719971,885.530029,885.549988,885.549988,865100
2018-03-22,889.210022,891.299988,869.000000,871.619995,871.619995,1011500
2018-03-23,851.700012,859.929993,829.669983,829.679993,829.679993,898200
2018-03-26,833.109985,853.690002,822.960022,853.690002,853.690002,740200
2018-03-27,862.400024,863.049988,856.559998,858.840027,858.840027,732200
2018-03-28,850.049988,856.359985,843.599976,850.969971,850.969971,889800
